Ticket_ID,Timestamp_of_ticket,Created_by,Comment,Attachment_IDs
26562,2025-08-05T08:21:33Z,85000474051,<div>Not given.</div>,
26563,2025-08-05T08:39:10Z,85000474051,<div>Not given.</div>,
26564,2025-08-05T09:02:09Z,85000184654,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">P12 Device branding</div></div>",
26565,2025-08-05T09:48:45Z,85000880487,<div>Not given.</div>,
26566,2025-08-05T10:13:34Z,85000570957,<div>Not given.</div>,
26567,2025-08-05T10:36:32Z,85000880487,<div>Not given.</div>,
26568,2025-08-05T10:58:45Z,85000196642,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">Consumer facing tent card - Travel voucher on EMI payments<br><br>
</div></div>",
26569,2025-08-05T10:59:31Z,85000254123,<div>No proporcionat.</div>,
26570,2025-08-05T11:09:06Z,85000474051,<div>Not given.</div>,
26571,2025-08-05T11:17:43Z,85000815225,<div>Not given.</div>,
26572,2025-08-05T11:28:30Z,85000916785,<div>Not given.</div>,
26573,2025-08-05T15:42:05Z,85000916785,<div>Not given.</div>,
26574,2025-08-06T04:36:58Z,85000496991,<div>Not given.</div>,
26575,2025-08-06T05:23:25Z,85000184455,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">URC Repeat User flow</div></div>",
26576,2025-08-06T05:24:53Z,85000441335,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">Osaka World Expo 2025</div></div></div></div>",
26577,2025-08-06T05:25:05Z,85000184455,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">URC New and React User Flow</div></div>",
26578,2025-08-06T05:26:34Z,85000184455,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">URC Premium LFR User flow</div></div>",
26579,2025-08-06T05:29:04Z,85000184455,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">URC LFR Mid Market User flow</div></div>",
26580,2025-08-06T05:30:34Z,85000184455,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">URC LFR Generic User Flow</div></div>",
26581,2025-08-06T06:29:51Z,85000496991,<div>Not given.</div>,
26582,2025-08-06T06:39:19Z,85000184680,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px"">
<div dir=""ltr"">Website Playbook</div>
<div dir=""ltr"">
<br>4 Aug - D1 shared with Anand and given feedback in Home pages and Product advantage section.</div>
<div dir=""ltr""><br></div>
</div>",
26583,2025-08-06T07:24:25Z,85000768327,<div>Not given.</div>,
26584,2025-08-06T08:14:11Z,85000782746,<div>Not given.</div>,
26585,2025-08-06T08:33:53Z,85000916785,<div>Not given.</div>,
26586,2025-08-06T08:55:45Z,85000496991,<div>Not given.</div>,
26587,2025-08-06T09:47:34Z,85000233270,<div>Not given.</div>,
26588,2025-08-06T11:11:27Z,85000231781,<div>Not given.</div>,
26589,2025-08-06T11:30:11Z,85000570957,<div>Not given.</div>,
26590,2025-08-06T11:43:24Z,85000570957,<div>Not given.</div>,
26591,2025-08-06T12:07:00Z,85000683780,<div>Not given.</div>,
26592,2025-08-06T12:11:32Z,85000496991,<div>Not given.</div>,
26593,2025-08-06T13:29:14Z,85000184688,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px"">
<div dir=""ltr"">Work &amp; Play Cafeteria<br><br>
</div>
<div dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt"">
<span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap"">The <",
26594,2025-08-06T16:05:27Z,85000272051,<div>No proporcionat.</div>,
26595,2025-08-07T04:58:49Z,85000272051,<div>No proporcionat.</div>,
26596,2025-08-07T05:20:16Z,85000232244,<div>Not given.</div>,
26597,2025-08-07T05:30:13Z,85000246338,"<div class=""WordSection1"">
<div class=""MsoNormal""><span style='font-size:11.0pt;font-family:""Calibri"",sans-serif;mso-fareast-language:EN-US'>Hi Ishita,</span></div>
<div></div>
<div></div>
<div class=""MsoNormal""><span style='font-size:11.0pt;font-family:""Calibri"",sans-serif;mso-fareast-language:EN-US'></span></div>
<div> </div>
<div></div>
<div class=""MsoNormal""><span style='font-size:11.0pt;font-family:""Calibri"",sans-serif;mso-fareast-language:EN-US'>Please ensure the same is approved at all le",
26598,2025-08-07T06:10:06Z,85000518828,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">Need to upgrade the existing template. </div></div>",
26599,2025-08-07T06:27:35Z,85000474051,<div>Not given.</div>,
26600,2025-08-07T07:36:47Z,85000236636,<div>Not given.</div>,
26601,2025-08-07T07:37:45Z,85000184651,<div>Not given.</div>,
26602,2025-08-07T07:47:08Z,85000237978,<div>Not given.</div>,
26603,2025-08-07T07:49:50Z,85000880487,<div>Not given.</div>,
26604,2025-08-07T08:45:22Z,85000356178,<div>Not given.</div>,
26605,2025-08-07T09:06:17Z,85000231799,<div>Not given.</div>,
26606,2025-08-07T09:31:12Z,85000496991,<div>Not given.</div>,
26607,2025-08-07T09:42:19Z,85000239090,<div>Not given.</div>,
26608,2025-08-07T09:59:51Z,85000239090,<div>Not given.</div>,
26609,2025-08-07T10:08:12Z,85000239090,<div>Not given.</div>,
26610,2025-08-07T10:20:58Z,85000239090,<div>Not given.</div>,
26611,2025-08-07T10:35:33Z,85000880487,<div>Not given.</div>,
26612,2025-08-07T11:22:08Z,85000806717,<div>Not given.</div>,
26613,2025-08-07T11:28:17Z,85000239090,<div>Not given.</div>,
26614,2025-08-07T11:59:22Z,85000864919,<div>Not given.</div>,
26615,2025-08-07T12:35:06Z,85000864919,<div>Not given.</div>,
26616,2025-08-07T13:05:14Z,85000916785,<div>Not given.</div>,
26617,2025-08-07T13:22:01Z,85000916785,<div>Not given.</div>,
26618,2025-08-07T16:02:43Z,85000474051,<div>Not given.</div>,
26619,2025-08-07T16:15:47Z,85000474051,<div>Not given.</div>,
26620,2025-08-08T03:37:18Z,85000782746,<div>Not given.</div>,
26621,2025-08-08T04:06:11Z,85000184445,"<div>Hi Sahil, Divya,</div>
<div>
<br id=""lineBreakAtBeginningOfSignature""><div dir=""ltr"">Please coordinate with Akash for the placement of the standee. </div>
<div dir=""ltr"">
<br><blockquote>On 7 Aug 2025, at 7:46 PM, Akash Chaudhary &lt;akash2.chaudhary@paytm.com&gt; wrote:<br><br>
</blockquote>
</div>
<blockquote><div dir=""ltr"">﻿


<div class=""WordSection1"">
<div class=""MsoNormal""><span style=""mso-fareast-language:EN-US"">Hi Ishita,</span></div>
<div class=""MsoNormal""><span style=""mso-fareast-",
